Chr	start	end	coverage	missing	twoOrMore	pi(A)	pi(C)	pi(G)	pi(T)	theta_MLE	theta_C95_l	theta_C95_u	LL
1	0	999999	0.741237	0.767193	0.157572	0.231249659	0.264648466	0.265599487	0.238502388	0.00352238736	0.00299444545	0.00405032928	-371634.099
1	1000000	1999999	2.676479	0.217339	0.599386	0.229242349	0.279770604	0.273414615	0.217572432	0.00145236487	0.00125176818	0.00165296156	-1248771.15
1	2000000	2999999	2.658393	0.216681	0.605488	0.207733175	0.282279291	0.286926314	0.22306122	0.00201024492	0.00179328737	0.00222720248	-1253945.85
1	3000000	3999999	2.480639	0.261758	0.572889	0.21989144	0.280784299	0.278600522	0.220723738	0.000931503225	0.000759815909	0.00110319054	-1172497.31
1	4000000	4999999	3.717306	0.086557	0.776528	0.256763792	0.234332277	0.242092314	0.266811617	0.00108159788	0.000945660355	0.0012175354	-1479070.7
1	5000000	5999999	3.952718	0.076043	0.800176	0.277944143	0.236083549	0.227462725	0.258509583	0.00160528006	0.0014495604	0.00176099971	-1504361.31
1	6000000	6999999	3.46311	0.101864	0.743543	0.248853171	0.254716139	0.252642828	0.243787863	0.000972424502	0.000824165221	0.00112068378	-1452113.06
1	7000000	7999999	3.861636	0.083133	0.783781	0.25368837	0.233675533	0.238505721	0.274130376	0.000773942821	0.000650955442	0.000896930201	-1486299.89
1	8000000	8999999	4.254136	0.070822	0.816692	0.291990482	0.223588762	0.213836335	0.270584421	0.000805557831	0.000682067729	0.000929047932	-1514483.31
1	9000000	9999999	3.569997	0.091439	0.762762	0.253987591	0.249194786	0.246188974	0.25062865	0.000818096076	0.00066956145	0.000966630703	-1471737.29
1	10000000	10999999	3.895201	0.081304	0.783944	0.255267613	0.23325644	0.236379176	0.275096771	0.000468979617	0.000357050246	0.000580908988	-1491236.37
1	11000000	11999999	3.605524	0.092205	0.765693	0.255475297	0.245767001	0.247816713	0.250940989	0.00107329608	0.000923558521	0.00122303365	-1472957.62
1	12000000	12999999	3.450777	0.159408	0.71062	0.255792253	0.227836601	0.235204597	0.28116655	0.000968808581	0.000819636324	0.00111798084	-1358068.07
1	13000000	13999999	0.954346	0.766153	0.193927	0.273988811	0.229566683	0.224756526	0.271687981	0.00216167254	0.0017861958	0.00253714928	-377957.474
1	14000000	14999999	4.329388	0.061965	0.836287	0.278780537	0.210360196	0.21629904	0.294560228	0.000992523453	0.000870426391	0.00111462051	-1522968.61
1	15000000	15999999	3.80519	0.07541	0.792124	0.259715776	0.237907041	0.240154358	0.262222825	0.00126662054	0.0011141447	0.00141909638	-1503589.5
1	16000000	16999999	3.635924	0.159262	0.69471	0.255562738	0.245539907	0.243801394	0.255095961	0.00174897211	0.0015696178	0.00192832643	-1385267.92
1	17000000	17999999	3.320237	0.20371	0.663361	0.242460156	0.248700326	0.255847773	0.252991746	0.00286245367	0.00263928627	0.00308562108	-1314379.15
1	18000000	18999999	3.675241	0.069171	0.796651	0.253108861	0.242138606	0.244566178	0.260186354	0.00104741898	0.00091275124	0.00118208673	-1506174.92
1	19000000	19999999	3.755601	0.073474	0.790906	0.271161155	0.244334596	0.236534137	0.247970112	0.00119483419	0.00104600661	0.00134366178	-1503388.61
1	20000000	20999999	3.8324	0.071145	0.796143	0.267084176	0.232767741	0.235594049	0.264554034	0.000869476225	0.000737529987	0.00100142246	-1504771.6
1	21000000	21999999	3.842013	0.104764	0.767455	0.285880959	0.22791649	0.222902486	0.263300064	0.000926918317	0.000790392138	0.0010634445	-1447638.37
1	22000000	22999999	3.623543	0.095964	0.761606	0.256475778	0.23910281	0.244479022	0.25994239	0.000711554181	0.000582831709	0.000840276654	-1462984.44
1	23000000	23999999	3.862136	0.077453	0.795121	0.270332872	0.2342667	0.231824052	0.263576375	0.000919872969	0.000785436693	0.00105430924	-1498432.7
1	24000000	24999999	3.537856	0.171788	0.711585	0.26720849	0.228310613	0.232254705	0.272226192	0.00120813218	0.00105465438	0.00136160998	-1345882.89
1	25000000	25999999	3.588814	0.147446	0.725034	0.261748714	0.233078029	0.233107798	0.272065459	0.000670735202	0.000542359283	0.000799111121	-1381129.33
1	26000000	26999999	3.709637	0.086808	0.773074	0.259494465	0.240856885	0.240123726	0.259524924	0.000957105986	0.000816166726	0.00109804525	-1482475.23
1	27000000	27999999	3.606372	0.095038	0.760821	0.253315822	0.24573838	0.241659724	0.259286074	0.000588073109	0.000456644344	0.000719501874	-1467451.41
1	28000000	28999999	4.05372	0.081345	0.796777	0.279172726	0.221947886	0.222974372	0.275905016	0.00133908826	0.00117975888	0.00149841765	-1496462.44
1	29000000	29999999	3.39562	0.194164	0.691412	0.257047251	0.226452155	0.233226913	0.283273682	0.000675857797	0.000545475256	0.000806240337	-1303377.45
1	30000000	30999999	3.634025	0.112765	0.753937	0.26463664	0.235723932	0.236267236	0.263372193	0.00104704708	0.000911716531	0.00118237762	-1432393.88
1	31000000	31999999	3.881999	0.079115	0.790138	0.273322762	0.235067791	0.228684044	0.262925403	0.000561542588	0.000445837718	0.000677247458	-1492928.33
1	32000000	32999999	3.77285	0.081221	0.780278	0.262486357	0.238352943	0.236984949	0.262175752	0.00056507676	0.000440462082	0.000689691438	-1489932.28
1	33000000	33999999	3.913874	0.084332	0.78774	0.266235082	0.22918914	0.230095564	0.274480214	0.000747188948	0.000623695566	0.000870682331	-1485408.53
1	34000000	34999999	3.96391	0.076542	0.807117	0.284000151	0.220833516	0.220647747	0.274518586	0.000457844117	0.000366570426	0.000549117807	-1486367.13
1	35000000	35999999	4.184222	0.077044	0.810525	0.288871584	0.217746323	0.209094846	0.284287247	0.000604993896	0.000493959156	0.000716028636	-1490589.76
1	36000000	36999999	3.985289	0.078427	0.792572	0.26735574	0.226348849	0.226914746	0.279380666	0.000498056825	0.00038726037	0.000608853281	-1493925.6
