Chr	start	end	coverage	missing	twoOrMore	pi(A)	pi(C)	pi(G)	pi(T)	theta_MLE	theta_C95_l	theta_C95_u	LL
1	0	999999	0.741237	0.767193	0.157572	0.23080173	0.265135571	0.266050676	0.238012023	0.0071078958	0.00641632362	0.00779946798	-372747.951
1	1000000	1999999	2.676479	0.217339	0.599386	0.228897183	0.280111193	0.273765447	0.217226177	0.00472394484	0.00442411666	0.00502377302	-1250021.24
1	2000000	2999999	2.658393	0.216681	0.605488	0.207441978	0.282574229	0.287243844	0.22273995	0.00507408757	0.00476928907	0.00537888607	-1255545.71
1	3000000	3999999	2.480639	0.261758	0.572889	0.219611534	0.281086463	0.278877216	0.220424786	0.00367191393	0.003390314	0.00395351386	-1173556
1	4000000	4999999	3.717306	0.086557	0.776528	0.256479929	0.234629422	0.242364349	0.2665263	0.00343426201	0.00321035463	0.00365816939	-1482925.06
1	5000000	5999999	3.952718	0.076043	0.800176	0.277626763	0.236391699	0.227780768	0.25820077	0.00417535701	0.00394147969	0.00440923433	-1508984.74
1	6000000	6999999	3.46311	0.101864	0.743543	0.248527431	0.255061422	0.252947774	0.243463374	0.00399573921	0.00374607803	0.0042454004	-1455324.32
1	7000000	7999999	3.861636	0.083133	0.783781	0.253401898	0.233990916	0.238771829	0.273835356	0.00318873826	0.00297019846	0.00340727807	-1490526.97
1	8000000	8999999	4.254136	0.070822	0.816692	0.291652989	0.223893092	0.214179301	0.270274618	0.00354898892	0.0033248273	0.00377315054	-1520157.75
1	9000000	9999999	3.569997	0.091439	0.762762	0.25367959	0.249501913	0.246477191	0.250341306	0.00406963128	0.00382104149	0.00431822107	-1475069.97
1	10000000	10999999	3.895201	0.081304	0.783944	0.254953568	0.233591431	0.236671629	0.274783373	0.00341175593	0.00318195004	0.00364156182	-1495854.31
1	11000000	11999999	3.605524	0.092205	0.765693	0.255150553	0.246103189	0.248130095	0.250616163	0.00406760012	0.00382196658	0.00431323366	-1476516.03
1	12000000	12999999	3.450777	0.159408	0.71062	0.25550675	0.228179576	0.235488932	0.280824742	0.00387526924	0.00362560136	0.00412493712	-1362176.89
1	13000000	13999999	0.954346	0.766153	0.193927	0.273606418	0.229993041	0.225089686	0.271310855	0.00543964203	0.00490581468	0.00597346938	-378972.929
1	14000000	14999999	4.329388	0.061965	0.836287	0.278510403	0.210655603	0.216563727	0.294270267	0.00319843805	0.00299135625	0.00340551984	-1528624.76
1	15000000	15999999	3.80519	0.07541	0.792124	0.259406109	0.238194286	0.240483801	0.261915804	0.00409102523	0.00385218849	0.00432986197	-1507382.14
1	16000000	16999999	3.635924	0.159262	0.69471	0.255219976	0.245895639	0.244140836	0.254743549	0.00480106533	0.00453000808	0.00507212258	-1389640.96
1	17000000	17999999	3.320237	0.20371	0.663361	0.242124943	0.249066209	0.256188627	0.252620221	0.00609614282	0.00579360014	0.00639868549	-1317813.17
1	18000000	18999999	3.675241	0.069171	0.796651	0.252828999	0.242432402	0.244839443	0.259899156	0.0034155991	0.00319377491	0.00363742328	-1509904.63
1	19000000	19999999	3.755601	0.073474	0.790906	0.270848512	0.244634322	0.236851322	0.247665844	0.00402346302	0.00378597455	0.00426095149	-1507317.06
1	20000000	20999999	3.8324	0.071145	0.796143	0.266815979	0.23304803	0.235891497	0.264244493	0.00359413522	0.00336669437	0.00382157608	-1508900.82
1	21000000	21999999	3.842013	0.104764	0.767455	0.285544839	0.228238983	0.223242896	0.262973283	0.00375278517	0.00351693013	0.00398864022	-1452509.19
1	22000000	22999999	3.623543	0.095964	0.761606	0.256180683	0.239411462	0.244755575	0.25965228	0.00353515441	0.00330200536	0.00376830346	-1466906.24
1	23000000	23999999	3.862136	0.077453	0.795121	0.270034773	0.234560763	0.232133714	0.26327075	0.00366382457	0.0034337443	0.00389390484	-1502927.39
1	24000000	24999999	3.537856	0.171788	0.711585	0.266886653	0.228647767	0.232565568	0.271900012	0.00395812732	0.00371032555	0.00420592908	-1349746.99
1	25000000	25999999	3.588814	0.147446	0.725034	0.261441989	0.233381666	0.233436589	0.271739755	0.00333470842	0.00310129234	0.00356812451	-1385265.7
1	26000000	26999999	3.709637	0.086808	0.773074	0.259190989	0.241147508	0.24045429	0.259207213	0.00384593985	0.00360656773	0.00408531197	-1486688.06
1	27000000	27999999	3.606372	0.095038	0.760821	0.252907652	0.246133509	0.242072686	0.258886152	0.00376753283	0.00352414411	0.00401092155	-1471322.23
1	28000000	28999999	4.05372	0.081345	0.796777	0.278827619	0.222291119	0.223331666	0.275549596	0.00469448506	0.00444212962	0.0049468405	-1501993.35
1	29000000	29999999	3.39562	0.194164	0.691412	0.25677292	0.226781295	0.233492476	0.28295331	0.00336443044	0.00312357671	0.00360528417	-1307466.65
1	30000000	30999999	3.634025	0.112765	0.753937	0.264361404	0.236004047	0.236540625	0.263093924	0.00331024178	0.00308813638	0.00353234718	-1436302.7
1	31000000	31999999	3.881999	0.079115	0.790138	0.273018838	0.235349318	0.228992398	0.262639446	0.00337784159	0.0031504251	0.00360525808	-1497779.82
1	32000000	32999999	3.77285	0.081221	0.780278	0.262192585	0.238687681	0.237274388	0.261845346	0.00360289909	0.00336920657	0.0038365916	-1494375.01
1	33000000	33999999	3.913874	0.084332	0.78774	0.26594683	0.229501247	0.230378942	0.27417298	0.00341434354	0.00318971926	0.00363896782	-1490167.39
1	34000000	34999999	3.96391	0.076542	0.807117	0.283750337	0.221097363	0.220896065	0.274256235	0.00233482619	0.00214301667	0.00252663571	-1491192.93
1	35000000	35999999	4.184222	0.077044	0.810525	0.288576237	0.218020935	0.209384237	0.284018591	0.00305157534	0.00283914915	0.00326400153	-1496508.79
1	36000000	36999999	3.985289	0.078427	0.792572	0.26705762	0.226650791	0.22722121	0.279070379	0.00328458409	0.00305990625	0.00350926193	-1499113.68
1	37000000	37999999	3.694462	0.0808	0.784349	0.265774326	0.240084822	0.235566019	0.258574833	0.00291197115	0.002698982	0.00312496031	-1487325.48
1	38000000	38999999	3.926626	0.072316	0.802752	0.273600502	0.230814406	0.230083768	0.265501324	0.00332961658	0.00311164138	0.00354759179	-1509428.14
1	39000000	39999999	4.098281	0.086846	0.797509	0.279101502	0.21756808	0.218466775	0.284863642	0.0032847647	0.00306626552	0.00350326388	-1485893.17
1	40000000	40999999	4.109571	0.088175	0.797509	0.275022886	0.220180848	0.221191479	0.283604788	0.00348699829	0.00326124779	0.00371274878	-1489620.51
1	41000000	41999999	3.899637	0.083082	0.789044	0.266890654	0.227847461	0.230408617	0.274853268	0.00358566715	0.00335944335	0.00381189095	-1490438.59
1	42000000	42999999	4.291593	0.06797	0.825913	0.292577521	0.21800564	0.212472704	0.276944135	0.00306050203	0.00285442354	0.00326658053	-1517309.4
